Author	Quote_EN	Quote_FR
		Après la pluie vient le beau temps
		C'est juste un arrêt, pas le terminus.
		Demain est un autre jour
		L'avenir appartient à ceux qui se lèvent tôt
		Laisser les gens être des gens
		N'accuse pas le puits d'être profond, si tu prends une corde trop courte
		Seuls les poissons morts nagent avec le courant
	Be kind, I don't care why	
	Be the change you want to see in the world	
	Cats don't have to assure people that they are cats	
	Devil works hard for his paycheck but you work harder.	
	Don't lose sight of the moment that you're given	
	Even if I am a free wind, I'll cherish those who love me	
	Event a broken clock is right twice a day	Même si une horloge cassée a raison deux fois par jour
	Everybody is an astronaut because the Earth, after all, is in space	
	Everybody want to know what I will do if I didn't win. That is not an option, so I don't think about it.	Tout le monde veut savoir ce que je ferais si je ne gagnais pas. Ce n'est une option, doc je n'y pense pas.
	Expect nothing, appreciate everything	N'attendez rien, appréciez tout
	Heartache is proof of a life well lived	Les chagrin est la preuve d'une vie bien vécue
	I have to do it the classic way, which is... just find out...	Je dois le faire de manière classique, c'est-à-dire... simplement découvrir...
	I might not be normal, but I am happy	Je ne suis peut-être pas normal, mais je suis heureux
	I refuses to die until the world gets better	Je refuse de mourir jusqu'à ce que le monde s'améliore
	I will be the one who light the flame	
	Jellyfish secret to immortality: keep yourself hydrated	Le secret d'immortalité des méduses : rester hydraté
	It started in the most unsuspecting location but again, that is where all the fairy tales happen	Tout a commencé dans l'endroit le plus insoupçonné, mais encore un fois, c'est là que se déroulent tous les contes de fées
	Life is like a toilet, sometimes you just gotta let go of the crap and flush away the negativity	La vie est comme des toilettes, parfois il faut juste laisser tomber la merde et chasser la négativité
	Life isn't the party we imagined but since we are here, let's dance!	La vie n'est pas la fête qu'on imagine mais puisque nous sommes là, dansons!
	Living... is a fine accomplishment already	Vivre... est déjà une belle réussite
	May the pain from the past never damage you	Que la douleur du passé ne vous fasse jamais de mal
	People can't drive you crazy if you don't give them the keys	Les gens ne peuvent pas vous rendre fou si vous ne leur donnez pas les clés
	Please have a good day. If your day is not good, maybe tomorrow will be a good day	
	Right man in the wrong place can make all the difference in the world	La bonne personne au mauvais endroit peut faire toute la différence du monde
	Rules are made to be broken and you are made to be happy	
	Study while others are sleeping; work while others are loafing; prepare while others are playing; and dream while others are wishing	
	The best day to plant a tree was 20 years ago, the second-best day is now.	Le meilleur jour pour planter un arbre était il y a 20 ans, le deuxième meilleur jour est maintenant.
	The horror persists, but so do I	
	The only place success comes before work is in the dictionary	
	The world is better with you in it	
	There are alyways some things that are more important than others	Il y a toujours des choses qui sont plus importantes que d'autres
	We forget happy memories. Maybe we can forget sad ones too.	On oublie les bons souvenirs. On peux peut-être aussi oublier les mauvais.
	We only regret the chances we did not take	Nous regrettons seaulement les chances que nous n'avons pas saisies
	When there is an elephant in the room, introduce him	
	Whoever saves one life saves the world entire	Celui qui sauve une vie, sauve l'humanité tout entière
	You tend to underrate yourself, sometimes you have to pat yourself on the back	
	Your current situation is not your final desination	Votre situation actualle n'est pas vortre destination finale
*Luna, 10年後の私になら / Only to me in 10 years (Kohana Lam's translation)	It is not your fault that you cannot be strong	Ce n'est pas de ta faute si tu ne peux pas être fort
